PaperTitle,Authors (with Affiliations),AuthorNames
Cross-Loss Influence Functions to Explain Deep Network Representations,Andrew Silva (Georgia Institute of Technology)*; Rohit Chopra (Georgia Institute of Technology); Matthew Gombolay (Georgia Institute of Technology),"Silva, Andrew*; Chopra, Rohit; Gombolay, Matthew"
Federated Reinforcement Learning with Environment Heterogeneity,Hao Jin (Peking University)*; 洋 彭 (Peking University); Wenhao Yang (Peking University); Shusen Wang (Stevens Institute of Technology); Zhihua Zhang (Peking University),"Jin, Hao*; 彭, 洋; Yang, Wenhao; Wang, Shusen; Zhang, Zhihua"
On Linear Model with Markov Signal Priors,Lan V Truong (University of Cambridge)*,"Truong, Lan V*"
Maillard Sampling: Boltzmann Exploration Done Optimally,Jie Bian (University of Arizona); Kwang-Sung Jun (University of Arizona)*,"Bian, Jie; Jun, Kwang-Sung*"
Norm-Agnostic Linear Bandits,Spencer B Gales (University of Arizona); Sunder Sethuraman (University of Arizona); Kwang-Sung Jun (University of Arizona)*,"Gales, Spencer B; Sethuraman, Sunder; Jun, Kwang-Sung*"
Gaussian Process Bandit Optimization with Few Batches,Zihan Li (National University of Singapore)*; Jonathan Scarlett (National University of Singapore),"Li, Zihan*; Scarlett, Jonathan"
Approximate Function Evaluation via Multi-Armed Bandits,Tavor Z Baharav (Stanford University)*; Gary Cheng (Stanford University); Mert Pilanci (Stanford University); David Tse (Stanford University),"Baharav, Tavor Z*; Cheng, Gary; Pilanci, Mert; Tse, David"
Unlabelled Data Helps: Minimax Analysis and Adversarial Robustness,Yue Xing (Purdue University)*; Qifan Song (Purdue University ); Guang Cheng (UCLA),"Xing, Yue*; Song, Qifan; Cheng, Guang"
System-Agnostic Meta-Learning for MDP-based Dynamic Scheduling via Descriptive Policy,Hyun-Suk Lee (Sejong University)*,"Lee, Hyun-Suk*"
Deep Layer-wise Networks Have Closed-Form Weights,Chieh Tzu Wu (Northeastern)*; Aria Masoomi (Northeastern University); Arthur Gretton (Gatsby Computational Neuroscience Unit); Jennifer Dy (Northeastern),"Wu, Chieh Tzu*; Masoomi, Aria; Gretton, Arthur; Dy, Jennifer"
Sequential Multivariate Change Detection with Calibrated and Memoryless False Detection Rates,Oliver Cobb (Seldon Technologies)*; Arnaud Van Looveren (Seldon Technologies); Janis Klaise (Seldon Technologies),"Cobb, Oliver*; Van Looveren, Arnaud; Klaise, Janis"
Neural Contextual Bandits without Regret,Parnian Kassraie (ETH Zurich)*; Andreas Krause (ETH Zürich),"Kassraie, Parnian*; Krause, Andreas"
SAN: Stochastic Average Newton Algorithm for Minimizing Finite Sums,Jiabin CHEN (Ecole Polytechnique )*; Rui YUAN (Facebook AI Research); Guillaume Garrigos (Univ. Paris-Sorbonne); Robert M Gower (Flatiron Institute),"CHEN, Jiabin*; YUAN, Rui; Garrigos, Guillaume; Gower, Robert M"
Factorization Approach for Low-complexity Matrix Completion Problems: Exponential Number of Spurious Solutions and Failure of Gradient Methods,Baturalp Yalçın (UC Berkeley)*; Haixiang Zhang (UC Berkeley); Javad Lavaei (UC Berkeley); Somayeh Sojoudi (UC Berkeley),"Yalçın, Baturalp*; Zhang, Haixiang; Lavaei, Javad; Sojoudi, Somayeh"
k-experts - Online Policies and Fundamental Limits,Samrat Mukhopadhyay (IIT (ISM) Dhanbad); Sourav Sahoo (Indian Institute of Technology Madras); Abhishek Sinha (IIT Madras)*,"Mukhopadhyay, Samrat; Sahoo, Sourav; Sinha, Abhishek*"
Extragradient Method: O(1/K)  Last-Iterate Convergence for Monotone Variational Inequalities and Connections With Cocoercivity,Eduard Gorbunov (Moscow Institute of Physics and Technology)*; Nicolas Loizou (Johns Hopkins University); Gauthier Gidel (Mila),"Gorbunov, Eduard*; Loizou, Nicolas; Gidel, Gauthier"
Multi-armed Bandit Algorithm against Strategic Replication,Suho Shin (Lineplus Corporation)*; Seungjoon Lee (POSTECH); Jungseul Ok (POSTECH),"Shin, Suho*; Lee, Seungjoon; Ok, Jungseul"
Gap-Dependent Bounds for Two-Player Markov Games,Zehao Dou (Yale University)*; Zhuoran Yang (Princeton.edu); Zhaoran Wang (Northwestern U); Simon Du (University of Washington),"Dou, Zehao*; Yang, Zhuoran; Wang, Zhaoran; Du, Simon"
Exploiting Correlation to Achieve Faster Learning Rates  in Low-Rank Preference Bandits,"Aadirupa Saha (Microsoft Research)*; Suprovat Ghoshal (Dept. of CSA, IISc)","Saha, Aadirupa*; Ghoshal, Suprovat"
Exploring Image Regions Not Well Encoded by an INN,Zenan Ling (Peking University); Fan Zhou (Shanghai Jiao Tong University); Meng Wei (University of Toronto); Quanshi Zhang (Shanghai Jiao Tong University)*,"Ling, Zenan; Zhou, Fan; Wei, Meng; Zhang, Quanshi*"
Finding Dynamics Preserving Adversarial Winning Tickets,Xupeng Shi (Northeastern University)*; Pengfei Zheng (Nanjing University); A. Adam Ding (Northeastern University); Yuan Gao (Tencent AI Lab); Weizhong Zhang (HKUST),"Shi, Xupeng*; Zheng, Pengfei; Ding, A. Adam; Gao, Yuan; Zhang, Weizhong"
Being a Bit Frequentist Improves Bayesian Neural Networks,Agustinus Kristiadi (University of Tübingen)*; Matthias Hein (University of Tübingen); Philipp Hennig (University of Tübingen and MPI for Intelligent Systems Tübingen),"Kristiadi, Agustinus*; Hein, Matthias; Hennig, Philipp"
Jointly Efficient and Optimal Algorithms for Logistic Bandits,Louis Faury (Criteo AI Lab)*; Marc Abeille (Criteo AI Lab); Kwang-Sung Jun (University of Arizona); Clement Calauzenes (Criteo),"Faury, Louis*; Abeille, Marc; Jun, Kwang-Sung; Calauzenes, Clement"
Obtaining Causal Information by Merging Datasets with MAXENT,Sergio H Garrido Mejia (DTU/Amazon research)*; Elke Kirschbaum (Amazon Research); Dominik Janzing (Amazon),"Garrido Mejia, Sergio H*; Kirschbaum, Elke; Janzing, Dominik"
Distributed Sparse Multicategory Discriminant Analysis,Hengchao Chen (University of Toronto)*; Qiang Sun (University of Toronto),"Chen, Hengchao*; Sun, Qiang"
Probabilistic Numerical Method of Lines for Time-Dependent Partial Differential Equations,"Nicholas Krämer (University of Tübingen)*; Jonathan Schmidt (University of Tübingen); Philipp Hennig (University of Tübingen and MPI for Intelligent Systems, Tübingen)","Krämer, Nicholas*; Schmidt, Jonathan; Hennig, Philipp"
A View of Exact Inference in Graphs from the Degree-4 Sum-of-Squares Hierarchy,Kevin Bello (UChicago/CMU)*; Chuyang Ke (Purdue University); Jean Honorio (Purdue),"Bello, Kevin*; Ke, Chuyang; Honorio, Jean"
Marginalized Operators for Off-policy Reinforcement Learning,Yunhao Tang (DeepMind)*; Mark Rowland (DeepMind); Remi Munos (DeepMind); Michal Valko (DeepMind),"Tang, Yunhao*; Rowland, Mark; Munos, Remi; Valko, Michal"
Basis Matters: Better Communication-Efficient Second Order Methods for Federated Learning,Xun Qian (King Abdullah University of Science and Technology)*; Rustem Islamov (Institut Polytechnique de Paris); Mher Safaryan (KAUST); Peter Richtarik (KAUST),"Qian, Xun*; Islamov, Rustem; Safaryan, Mher; Richtarik, Peter"
Infinitely Deep Bayesian Neural Networks with Stochastic Differential Equations,Winnie Xu (University of Toronto)*; Ricky T. Q. Chen (Facebook AI Research); Xuechen Li (Stanford); David Duvenaud (University of Toronto),"Xu, Winnie*; Chen, Ricky T. Q.; Li, Xuechen; Duvenaud, David"
Causally motivated shortcut removal using auxiliary labels ,Maggie Makar (University of Michigan)*; Ben Packer (Google); Dan Moldovan (Google Inc.); Davis Blalock (MIT); Yoni Halpern (Google); Alexander D'Amour (Google Brain),"Makar, Maggie*; Packer, Ben; Moldovan, Dan; Blalock, Davis; Halpern, Yoni; D'Amour, Alexander"
Learning to Plan Variable Length Sequences of Actions with a Cascading Bandit Click Model of User Feedback,Anirban Santara (Google); Gaurav Aggarwal (Google); Shuai Li (Shanghai Jiao Tong University); Claudio Gentile (Google Research)*,"Santara, Anirban; Aggarwal, Gaurav; Li, Shuai; Gentile, Claudio*"
Identity Testing of Reversible Markov Chains,Sela Fried (Ben Gurion University of the Negev)*; Geoffrey Wolfer (Tokyo University of Agriculture and Technology),"Fried, Sela*; Wolfer, Geoffrey"
Sampling in Dirichlet Process Mixture Models for Clustering Streaming Data,Or Dinari (Ben Gurion University)*; Oren Freifeld (Ben-Gurion University),"Dinari, Or*; Freifeld, Oren"
A Globally Convergent Evolutionary Strategy for Stochastic Constrained Optimization with Applications to Reinforcement Learning,Vihang Prakash Patil (USI); Youssef Diouane (ISAE-SUPAERO); Aurelien Lucchi (ETH Zurich)*,"Patil, Vihang Prakash; Diouane, Youssef; Lucchi, Aurelien*"
Adaptively Partitioning Max-Affine Estimators for Convex Regression,Gábor Balázs (-)*,"Balázs, Gábor*"
Variational Marginal Particle Filters,"Jinlin Lai (University of Massachusetts Amherst)*; Daniel Sheldon (University of Massachusetts, Amherst); Justin Domke (UMass Amherst)","Lai, Jinlin*; Sheldon, Daniel; Domke, Justin"
On Structured Filtering-Clustering: Global Error Bound and Optimal First-Order Algorithms,Nhat Ho (University of Texas at Austin); Tianyi Lin (UC Berkeley)*; Michael Jordan (UC Berkeley),"Ho, Nhat; Lin, Tianyi*; Jordan, Michael"
Robustness and reliability when training with noisy labels,Amanda Olmin (Linköping University)*; Fredrik Lindsten (Linköping University),"Olmin, Amanda*; Lindsten, Fredrik"
Robust Bayesian Inference for Simulator-based Models via the MMD Posterior Bootstrap,Charita Dellaporta (University of Warwick)*; Jeremias  Knoblauch (University College London); Theodoros Damoulas (University of Warwick); Francois-Xavier Briol (Alan Turing Institute),"Dellaporta, Charita*; Knoblauch, Jeremias ; Damoulas, Theodoros; Briol, Francois-Xavier"
